"Headline","Subheadline","Body","CTA","Hook","VisualIdea"
"実践3つのステップ（パート19）","このパートで何が起きるか","曇ったメガネに気づく→しあわせメガネに替える→定着癒しで関わりを無意識レベルまで落とす。3ステップで進む。","Step1へ","具体メソッドの全体像","123のステップ・横並びアイコン"
"Step1のゴール","","「今かけている曇ったメガネに気づく」で、自分がどんな心のメガネで子どもを見ているか気づけるママになる。","事例へ","","ステップバッジ①"
"ビフォーアフター（例）","","娘が自分の気持ちを話すようになった。自分を振り返る習慣ができた（なみこさん）など。","続きへ","","吹き出し1つ"
"感情・生活の変化（例）","","子どもへの爆発的な怒りが激減（ちかさん）。イライラが減少（なみこさん）。","続きへ","",""
"できるようになること（例）","","子どもの気持ちを考えられるようになった（まやさん）。","なぜ最初？","",""
"なぜ最初にこれをやるのか","","見え方が変わらない限り、関わり方は変わらない。","壁へ","","眼鏡の比喩"
"つまずきやすい壁","","自分を責めるだけで、行動を変えられない。","本質へ","",""
"それはなぜか","","曇ったメガネに気づけていないから。","つまり","",""
"つまり","","今の感情や行動は、出来事そのものではなく【見え方】の問題。見え方が変われば感じ方も変わる。","心の準備へ","",""
"心の準備","","「自分が悪い母親だから」と決めつける前に、どんなメガネ（思考のクセ）で見ているか立ち止まって考える。","メソッド名へ","",""
"心のメガネ発見","","具体的に「心のメガネ発見」メソッドを実践する。子どもへの反応の裏にある思考のクセを見つけるワーク。","3つの手順へ","",""
"手順1","","最近、子どもにイライラしたことを書き出す。","手順2へ","","ワークシート欄"
"手順2","","そのとき、心の中にあった思いや感情に気づく。","手順3へ","",""
"手順3","","それらがどんな「心のメガネ」なのか理解する。","メリットへ","",""
"なぜこのメソッドで変われるのか","","説明へ進む：なぜ「冷静に見守れる」につながるか。","続きへ","",""
"3つのメリット","","①思考の癖に気づける ②怒りのスイッチが分かる ③子どもの行動を客観視しやすい。","まとめへ","","箇条書き3つ"
"Step1のまとめ","","この3手順で、子どものことを落ち着いて見守れるママに近づく。","Step2へ","",""
"なぜなら","","怒りは出来事そのものではなく、「見え方」から生まれる。","Step2ゴールへ","",""
"Step2のゴール","","「しあわせメガネに掛け替える」で、怒りを生み出していた思考から解放されたママになる。","事例へ","","ステップバッジ②"
"ビフォーアフター（例）","","物事の捉え方が拡大（翔子さん）。","感情の変化へ","",""
"感情・生活の変化（例）","","爆発が減少（翔子さん）。怒る回数が減少（はるみさん）。","続きへ","",""
"できるようになること（例）","","落ち着いて考えられる（翔子さん）。立ち直りが早くなる（はるみさん）。","なぜ次？","",""
"なぜ次にこれをやるのか","","思考のクセは、気づいただけでは変わらない。","壁へ","",""
"つまずきやすい壁","","無理にポジティブになろうとして逆効果。","本質へ","",""
"それはなぜか","","しあわせメガネへの掛け替えができていないから。","つまり","",""
"つまり","","曇ったメガネ（自分を苦しめる思い込み）を外し、しあわせメガネ＝自然と自分も子どももハッピーにシフトする。","心の準備へ","",""
"心の準備","","「無理にポジティブじゃないと」と自分を追い込まない。関わり方は見方が変われば自然と変わる。","思考リセットへ","",""
"思考リセット","","「思考リセット」メソッドを実践。思い込みを書き換えるワーク。","3手順へ","",""
"思考リセットの定義","","思い込みを書き換える。","手順1へ","",""
"手順1","","思い込みを書き出す。","手順2へ","",""
"手順2","","その思い込みが本当に正しいか問い直す。","手順3へ","",""
"手順3","","より柔らかい考えに置き換える。","メリットへ","",""
"なぜこのメソッドで変われるのか","","感情に振り回されないママへ近づく理由を説明する。","続きへ","",""
"3つのメリット","","①自分を責めにくい ②子どもに完璧を求めにくい ③心に余裕。","まとめへ","",""
"Step2のまとめ","","穏やかに関われるママに近づく。","なぜなら","",""
"なぜなら","","思考が変わると、感情反応も変わる。","Step3ゴールへ","",""
"Step3のゴール","","「最幸親子・定着癒しメソッド」で、子どもの可能性を信じて関われるママになる。","事例へ","","ステップバッジ③"
"ビフォーアフター（例）","","子どもが自発的に動く（ゆきさん）。親子の信頼が戻る（マヨネーズさん）。","続きへ","",""
"感情・生活の変化（例）","","家族がチームになる（まやさん）。","続きへ","",""
"できるようになること（例）","","子どもの立場を考えられる（はるみさん）。自分を大切にできる（ゆきさん）。","なぜ最後？","",""
"なぜ最後にこれをやるのか","","できてもストレスで元の関わり方に戻りやすい。だから定着が要る。","壁へ","",""
"つまずきやすい壁","","「子どもが変わらないと意味がない」。","本質へ","",""
"それはなぜか","","定着癒しができていないから。","つまり","",""
"つまり","","変化の着目を子どもではなく、自分に。正しい関わりを頑張るのではなく、ストレスでも崩れない無意識レベルまで落とす。","心の準備へ","",""
"心の準備","","子どもが変わらないと意味がない、という思い込みをほどく。","定着癒しへ","",""
"【最幸親子】定着癒し","","身につけた関わりを、脳が迷わず選べる状態に。意識しなくても自然にできるようにするワーク。","3手順へ","",""
"定着癒しの定義（要約）","","身につけた関わり方を、神経回路レベルで定着させる。","手順1へ","",""
"手順1","","できた関わりを振り返り、成功体験として脳に刻む。","手順2へ","",""
"手順2","","感情が揺れても崩れない関わりを、日常で再現できるよう脳に定着させる。","手順3へ","",""
"手順3","","親子の間に安心と信頼が自然に流れ、維持する。","メリットへ","",""
"なぜこのメソッドで変われるのか","","子どもへの見方が変われるママになる理由を説明する。","続きへ","",""
"3つのメリット","","①努力なしに良い関わりが選びやすい ②安心と信頼のパターンが定着 ③自己肯定感を高める関わり。","まとめへ","",""
"Step3のまとめ","","子どもの可能性を信じて見守れるママに近づく。","なぜなら","",""
"なぜなら","","意識だけで変わっても、無意識が変わらないと元に戻る。だから定着が要る。","パート終了","","穏やかな締め・余白"
