slide_no,part,slide_name_jp,slide_key,key_message（このスライドで言う一言・要約）,csv_source（ゼロライティングファネル.csvの当て先）,notes
1,opening,表紙（ウェビナーコンセプト）,cover,"講座名＋一言フック（ビッグアイデア／whatの核）","列Aラベル「タイトル」「ビッグアイデア」「what（ビッグプロミス）」から表紙用に圧縮",表紙は文字少なめ。サブは「who」1行に要約しても可
2,opening,スピーカーズライト（講師実績）,speaker_light,"数字で信頼（期間・広告・リスト・売上など）","本CSVには講師の数値実績ブロック無し → 別原稿 or マスターPDF2相当を追記推奨",列のみでは不足。数値行をCSVに追加するのがベスト
3,opening,得られる未来（whoが得られるwhat）,future_who_what,"whoが手にするwhatを未来形で","列「what（ビッグプロミス）」「ワンシング」",3枚は問いかけ型にしても可
4,opening,whoのインサイト（悩みの内省言語化）,insight,"脳内の独白・消耗の言語化","列「whoはどんな苦悩を〜」「whoはどんな試行錯誤や失敗を〜」",箇条書きを短文化してスライド分割可
5,opening,こんな人のためにあります（whoの強化）,who_for,"ターゲット明示＋『あなた向け』","列「who」「whoがうまくいかないのはどんな壁〜」「whoは自分がうまくいかないのは何が原因だと思っているか」",5は4の外に自己責め原因を置くと流れが自然
6,opening,あなたのせいではありません（共通の敵）,not_your_fault,"原因は構造・時代・業界風潮側","列「コンテンツパートのロジック」内の『自分でライティング』系の行、加えて「whoが成果が出ない根本原因は〜」から『ライティングを自分で』を強調",ユーザーCSVに『業界批判の長文』は薄い場合はマスター6を補う
7,content,スピーカーズライト２（講師実績＋経歴）,speaker_light2,"権威＝メソッド定義＋3stepの要約","列「メソッドの定義」「how（step1〜3）」",経歴エピソードは本CSVに無い場合あり → 別途1枚
8,content,ストーリー（苦難→転換→今）,story,"講師の物語で納得ルート","本CSVにストーリー専用行無し → 別原稿推奨",step詳細内の事例は『受講者』寄り。講師ストーリーは8用に分離
9,content,プレゼント告知（最後まで見た人向け）,gift,"視聴完了特典の列挙","本CSVにプレゼント一覧無し → 特典稿は別（21〜22PDF相当）",列をCSVに追加すると運用が楽
10,content,目次（1〜3）,toc_123,"これからの本編3本柱","列「how」「howのまとめ」",見出しは step1〜3 の文言をそのまま使える
11,content,サポート実績（数字のBA）,support_results,"受講者・顧客の数値変化","列「step詳細」内の『具体的なビフォーアフター』『感情やライフスタイル』各ブロック",ケースを1〜2個に絞る
12,content,目次1（第1章入り）,toc_1,"これから深掘りする『第1テーマ』","列「コンテンツパートのロジック」冒頭〜『なぜこれが必要だと断言』前後",本編の入り。長い論理チェーンの入口
13,content,一枚図（未来図・仕組み図）,one_diagram,"変数が少ない導線・仕組みを一発で","列「メソッドの定義」＋「how」＋（あれば）19-2追補稿の『広告→LP→1本〜』",図は字より図。CSVは説明文を短く
14,content,思い込み言い当てと常識外し,myth_bust,"ライティング当たり前を外す","列「コンテンツパートのロジック」中盤〜『つまりwhoが…最適な解決策』まで＋必要なら『３つの原因と解決策』の導入",長文は14〜16に分割。反論→事実の順
15,content,時代変化,market_shift,"市況変化で悩みが出たのは必然","本CSVに『時代変化』専用ブロック無し → 別稿（15PDF相当）を追記推奨",足すならCSVに行を1ブロック追加がベスト
16,content,3つの落とし穴,three_pitfalls,"原因①②③と解決策①②③","列「３つの原因と解決策」（原因①〜解決③までの連続行）",1スライド1原因に分けると読みやすい
17,content,従来との違い,vs_traditional,"学習系・関係資本系・代行系との対比","本CSVに比較表の専用ブロック無し → 別稿（17PDF相当）推奨",比較を足すならCSVに3類型＋自社列を追加
18,content,ある場合とない場合,with_without,"ない場合の作業地獄 vs ある場合の省力","列「step詳細」内の負荷・対比に使える行＋『コンテンツパートのロジック』の負荷系",18は左右2カラムが相性良い
19,value,実践3つのステップ（step1〜3の教育）,three_steps,"各stepで『やること・理由・こうなる』","列「step詳細」（step1〜step3のブロック全体）",40枚相当の原稿は19で章立てし中身は分割スライド化
20,value,これがないと,without_this,"導入しない場合に残るタスクと機会損失","列「step詳細」内の『壁』『思い込み』＋コンテンツロジックの負荷列",20の後に21CTAで救済
21,cta,CTA（プログラム提示）,cta_program,"最短・成果・対象外／対象内","本CSVに21CTA専用行は無し → オファー稿を別途",プログラム名・期間・条件をCSV行として追加推奨
22,cta,具体的なセッション名・予約,session_detail,"セッション名・特典・2つの道・予約","本CSVに22専用行は無し → セッション名・特典・予約導線を別稿",予約URLは別列で管理すると安全
